n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
58,103,18.7354663,0.000368452,0.021370223,59,30,0.01289507,13.05209083,400,2.602059991
62,105,18.33210914,0.000325515,0.020181908,58,25,0.013952802,12.60235497,400,2.602059991
135,155,51.27701947,0.000449093,0.06062753,38.66666667,52,0.022778099,18.64222576,400,2.602059991
113,134,30.39235005,0.000439911,0.049709931,47.66666667,49,0.021189774,15.44643068,400,2.602059991
651,806,90.40261015,0.000282457,0.18387931,36,400,0.143386015,29.67534004,400,2.602059991
225,411,65.86895623,0.000291401,0.065565176,59.33333333,106,0.061226551,19.89443482,400,2.602059991
147,193,40.94271111,0.00047918,0.070439506,59.66666667,52,0.028044444,16.84403951,500,2.698970004
95,154,20.37649312,0.000346146,0.032883888,52.33333333,39,0.017334299,8.399332368,500,2.698970004
123,154,23.27790716,0.000413857,0.050904363,54,60,0.020032798,13.87036175,500,2.698970004
165,191,34.71761849,0.000419158,0.069161036,44.66666667,59,0.026974776,24.4689879,500,2.698970004
147,199,25.69212678,0.000268844,0.039520008,41.33333333,82,0.015727203,16.35566564,500,2.698970004
137,195,28.19617857,0.000258964,0.035478007,55.66666667,55,0.019149315,12.13902112,500,2.698970004
329,350,62.32631751,0.000408816,0.134500398,40.33333333,128,0.041461519,15.38869694,600,2.77815125
271,307,56.05121939,0.000371618,0.100708502,51.66666667,97,0.029429343,15.51033835,600,2.77815125
154,168,42.51970683,0.000515758,0.079426728,49.66666667,55,0.02327882,14.7956951,600,2.77815125
123,139,39.54197361,0.000557235,0.068539966,35.66666667,57,0.018872223,14.26077938,600,2.77815125
689,1481,131.3112372,0.000396639,0.27328393,23.33333333,1116,0.257895098,33.14413325,600,2.77815125
1297,1951,151.3804173,0.000440672,0.571551177,19.33333333,1690,0.413313093,38.60738382,600,2.77815125
144,184,64.61238332,0.000407975,0.058748472,50,89,0.027062431,20.74989326,700,2.84509804
106,158,21.20971272,0.000302218,0.032035091,53.66666667,46,0.017005688,11.2729249,700,2.84509804
93,206,24.82758638,0.000397263,0.036945424,59,32,0.023242407,17.98273449,700,2.84509804
153,185,40.08492867,0.000459075,0.070238492,46,61,0.027225869,24.06512277,700,2.84509804
38,119,18.21394336,0.000359496,0.013660849,57,26,0.0119706,8.110675381,700,2.84509804
57,123,35.33261356,0.000259926,0.014815781,59,27,0.014207112,17.41738765,700,2.84509804
1383,2011,160.908628,0.000447033,0.618246377,18,1311,0.329038647,38.54332367,700,2.84509804
960,1151,123.5889203,0.000395548,0.379726019,33.66666667,342,0.125167905,29.98511576,700,2.84509804
90,154,25.04149527,0.000339716,0.030574438,57,37,0.021569371,16.53748383,800,2.903089987
149,218,29.30552842,0.000361652,0.05388608,59.66666667,58,0.026641385,21.7238901,800,2.903089987
150,204,39.68096471,0.000479298,0.071894738,55.33333333,65,0.02883816,22.02762463,800,2.903089987
163,177,46.90815894,0.000499661,0.08144478,45.66666667,63,0.030051379,21.59344605,800,2.903089987
1062,1390,123.7929066,0.000421817,0.447969692,24,988,0.271747004,33.02125264,800,2.903089987
1345,1740,125.419823,0.000396315,0.533043265,20.66666667,1265,0.271533923,31.99775811,800,2.903089987
120,203,24.12156321,0.000366826,0.044019116,57,45,0.022332193,17.04626058,900,2.954242509
120,203,24.12156321,0.000366826,0.044019116,57,45,0.022332193,17.04626058,900,2.954242509
120,203,24.12156321,0.000366826,0.044019116,57,45,0.022332193,17.04626058,900,2.954242509
181,262,47.58917494,0.000364135,0.065908399,49,113,0.025221677,19.30825912,900,2.954242509
254,274,79.20328666,0.000496901,0.126212883,25.66666667,112,0.057248542,22.57358194,900,2.954242509
226,430,74.37558947,0.000471596,0.10658076,23,275,0.058185682,30.66639659,900,2.954242509
537,576,56.06679188,0.000283229,0.152094016,34,264,0.06209434,22.95990459,1000,3
