,n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
6,8,80,15.585625272267173,0.00018171539331287353,0.0014537231465029882,59.666666666666664,34,0.012109464863462604,10.699926090169994,20,1.3010299956639813
7,24,132,24.282333396620466,0.00044736092652363776,0.010736662236567307,59.0,62,0.015326561610024686,14.068340611353715,20,1.3010299956639813
8,10,98,15.795122233976263,0.0003308843064230199,0.003308843064230199,59.666666666666664,33,0.012737838190328518,11.176397563532204,20,1.3010299956639813
9,5,12,11.377266309480397,0.0008387332042974557,0.0041936660214872785,34.0,5,0.0026788970237594323,5.743260680523997,20,1.3010299956639813
10,8,21,8.717405482041588,0.0002959593572778828,0.0023676748582230622,47.666666666666664,7,0.002121928166351607,7.802344045368621,20,1.3010299956639813
11,17,203,18.293229813664595,0.0001534526854219949,0.0026086956521739132,58.333333333333336,66,0.03078356426182513,13.432637362637362,20,1.3010299956639813
12,38,104,10.472729433362291,0.0007393214633561398,0.028094215607533314,59.333333333333336,30,0.011297513481617465,4.752852038223869,20,1.3010299956639813
13,13,33,15.178000484144276,0.0001992439900936633,0.002590171871217623,59.666666666666664,11,0.003858629871701767,10.030965867828614,30,1.4771212547196624
14,8,38,12.469288860918818,0.0003521808587887883,0.0028174468703103064,55.0,15,0.005910829258846879,10.060284649271432,30,1.4771212547196624
15,27,40,12.49540089424425,0.00035576101280318626,0.00960554734568603,53.666666666666664,9,0.0038081164033193136,7.474451517562806,30,1.4771212547196624
16,21,44,22.607191011235955,0.00029035134653112183,0.0060973782771535584,53.666666666666664,11,0.003915106117353309,11.58698127340824,30,1.4771212547196624
17,6,20,17.586438237834724,0.0003447227820968103,0.002068336692580862,58.333333333333336,5,0.0034792206545733763,8.622598138017082,40,1.6020599913279623
18,13,29,26.144026393033016,0.00018175066570379867,0.0023627586541493826,59.0,7,0.0027314848506901496,11.005729811027825,40,1.6020599913279623
19,13,71,21.401465861120794,0.000415583022763225,0.005402579295921924,58.666666666666664,41,0.006685449827659659,7.980316409124356,40,1.6020599913279623
20,10,24,26.589947760321234,0.00012864995516743987,0.0012864995516743986,51.333333333333336,11,0.0018225410315387313,8.06172761295856,40,1.6020599913279623
21,75,142,17.086555621653776,0.0003034459206380682,0.02275844404785511,45.0,37,0.01860664948112896,9.947778273514444,40,1.6020599913279623
22,196,402,54.078117722403356,0.00014993334315561345,0.029386935258500235,43.0,161,0.05347092842726284,13.85908632199969,50,1.6989700043360187
