,n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
6,38,104,10.472729433362291,0.0007393214633561398,0.028094215607533314,59.333333333333336,30,0.011297513481617465,4.752852038223869,20,1.3010299956639813
7,27,40,12.49540089424425,0.00035576101280318626,0.00960554734568603,53.666666666666664,9,0.0038081164033193136,7.474451517562806,30,1.4771212547196624
8,21,44,22.607191011235955,0.00029035134653112183,0.0060973782771535584,53.666666666666664,11,0.003915106117353309,11.58698127340824,30,1.4771212547196624
9,75,142,17.086555621653776,0.0003034459206380682,0.02275844404785511,45.0,37,0.01860664948112896,9.947778273514444,40,1.6020599913279623
10,63,119,74.83258445423624,0.0008346186598737619,0.052580975572047,49.666666666666664,32,0.014257691713048852,16.669493081323438,50,1.6989700043360187
11,68,104,27.49366864810107,0.0003937243583761607,0.02677325636957893,58.333333333333336,24,0.008744433188707736,12.840144115904355,50,1.6989700043360187
12,43,233,33.858903836572,0.0004499368489357018,0.019347284504235177,59.333333333333336,57,0.022062780269058307,13.205142002989538,60,1.7781512503836436
13,42,240,17.612473884140552,0.0003337403337403338,0.014017094017094018,59.666666666666664,54,0.03642450142450142,16.85729819563153,60,1.7781512503836436
14,62,86,13.988481947055138,0.0003903407712830463,0.024201127819548873,58.666666666666664,22,0.011684484649122806,10.960408834586467,70,1.845098040014257
15,58,105,21.67020881006865,0.000481667061206239,0.02793668954996186,56.666666666666664,19,0.010550152555301298,12.061727688787187,70,1.845098040014257
16,44,131,14.86965484259305,0.0002560795707532956,0.011267501113145006,59.333333333333336,27,0.01030689820082785,14.587324164316694,80,1.9030899869919435
17,39,252,29.620464725643895,0.00025028474076626374,0.009761104889884286,59.666666666666664,64,0.031924225457260175,17.904404628592758,90,1.954242509439325
18,20,170,23.982811075387495,0.0003870147319928979,0.007740294639857958,59.666666666666664,75,0.017203320696770476,17.54435433562071,90,1.954242509439325
19,125,220,25.12739580668694,0.00026349846990497304,0.03293730873812163,54.0,51,0.023278287809453437,9.375853868819217,100,2.0
20,33,70,10.368292381892754,0.00022642113064412928,0.007471897311256266,52.0,20,0.0057961795533951095,10.388662084156161,100,2.0
21,34,51,8.905823041025545,0.00032343184476594394,0.010996682722042093,52.0,13,0.003813932567423208,5.340723803812058,100,2.0
22,74,150,42.48867968823364,0.00033698126711555204,0.02493661376655085,59.666666666666664,35,0.015057751901587008,13.520170908066484,100,2.0
23,18,131,24.870585722422632,0.0002771449064405206,0.0049886083159293715,58.666666666666664,72,0.016888171634706663,11.180425289538636,100,2.0
24,71,125,25.837898355477098,0.0005405843964651983,0.038381492149029084,58.0,24,0.012896032704636254,10.104710582551334,100,2.0
25,18,119,11.487905828745015,0.00014529671117861738,0.0026153408012151128,56.0,27,0.00816404025061705,8.363750711980254,200,2.3010299956639813
26,15,84,20.924433225193404,0.00019964294626917243,0.0029946441940375866,58.0,25,0.0065891770487397534,16.50095022363849,200,2.3010299956639813
27,58,197,12.964260575845797,0.00019718877457301738,0.011436948925235007,57.333333333333336,43,0.027451176389739235,11.796846300900881,200,2.3010299956639813
28,42,82,3.6749980419799497,0.00016573241138560687,0.0069607612781954886,53.666666666666664,24,0.004718828320802006,6.586735393170426,300,2.4771212547196626
29,47,99,6.539670128643928,0.00018435698543475186,0.008664778315433337,55.0,26,0.008359888272552029,7.659570596797671,300,2.4771212547196626
30,651,806,90.4026101532567,0.0002824566979183219,0.18387931034482757,36.0,400,0.14338601532567052,29.675340038314175,400,2.6020599913279625
31,225,411,65.86895622895624,0.0002914007802896692,0.06556517556517556,59.333333333333336,106,0.06122655122655124,19.894434824434825,400,2.6020599913279625
32,147,199,25.69212677953059,0.00026884358976372386,0.03952000769526741,41.333333333333336,82,0.015727202770296267,16.355665640631013,500,2.6989700043360187
33,137,195,28.196178570759226,0.0002589635520770505,0.035478006634555914,55.666666666666664,55,0.01914931499147253,12.139021121877166,500,2.6989700043360187
34,689,1481,131.31123717597305,0.0003966385048331744,0.27328392983005717,23.333333333333332,1116,0.2578950975017621,33.14413325240818,600,2.7781512503836434
35,1297,1951,151.38041731158472,0.00044067168598873414,0.5715511767273882,19.333333333333332,1690,0.41331309282851136,38.60738381553359,600,2.7781512503836434
36,1383,2011,160.90862801932366,0.0004470328104205309,0.6182463768115942,18.0,1311,0.3290386473429952,38.54332367149759,700,2.845098040014257
37,960,1151,123.58892027496839,0.00039554793674936785,0.37972601927939315,33.666666666666664,342,0.12516790455120103,29.985115755372945,700,2.845098040014257
38,1062,1390,123.79290664891535,0.0004218170359918582,0.4479696922233534,24.0,988,0.2717470044639361,33.02125264312005,800,2.9030899869919438
39,1345,1740,125.41982300884956,0.0003963146947980978,0.5330432645034415,20.666666666666668,1265,0.2715339233038348,31.997758112094395,800,2.9030899869919438
